Index,Word,Romaji,Meaning,Page Link,Page Number,Detailed Info
10,だい,dai,A sentence final particle which indicates an interrogative word question in informal male speech.,entries/11.html,B. 90,"{'Explanation': 'Spoiler English example sentencesA sentence final particle which indicates an interrogative word question in informal male speech.', 'Example Sentences': [('どこが静かだい。', 'What place is quiet?'), ('誰が行くんだい。', 'Who is going?'), ('新しい仕事はどうだい。', ""How's your new job""), ('あの人は誰だい。', 'Who is that person?'), ('何が可笑しいんだい。', ""What's funny?""), ('どの人は佐藤先生なんだい。', 'Which person is Professor Sato?')], 'Image Notes': 'https://postautistic.github.io/img/Basicだい.png'}"
11,だけ,dake,A particle which expresses a limit imposed upon something that is growing and expanding.Only; just; alone; merely; that’s all,entries/12.html,B. 93,"{'Explanation': 'Spoiler English example sentencesA particle which expresses a limit imposed upon something that is growing and expanding.Only; just; alone; merely; that’s all', 'Example Sentences': [('スミスさんだけ（が）来た・来ました。', 'Only Mr. Smith came.'), ('私は日本へ一度だけ行った・行きました。', 'I went to Japan only once.'), ('雪子さんとはデートしただけだ・です。', ""I just dated Yukiko, that's all.""), ('この家は大きいだけだ・です。', ""This house is big, that's all.""), ('このお菓子は色が奇麗なだけだ・です。', ""This cake has pretty colours, that's all.""), ('佐藤さんだけ（が）会議に出ました。', 'Only Mr. Sato attended the conference.'), ('小さい和英辞典だけ（を）買いました。', 'I bought only a small Japanese-English dictionary.'), ('僕にだけ・だけに話して下さい。', 'Please tell it only to me/to me alone.'), ('この車はアルコールでだけ・だけで動きます。', 'This car runs only on alcohol (and nothing else)/on alcohol alone (so it needs nothing else).'), ('あの先生には一度だけ会いました。', 'I met that professor only once.'), ('朝はコーヒーを一杯飲むだけです。', 'In the morning I just drink a cup of coffee, that’s all.'), ('この本は高いだけで面白くない。', 'This book is just expensive and is not interesting.'), ('テニスは好きなだけで上手じゃない。', 'I just like tennis, and I’m not good at it.'), ('それは学生だけのパーティーだった。', 'It was a party for students only.'), ('出来るだけゆっくり話して下さい。', 'Please speak slowly as possible.')], 'Image Notes': 'https://postautistic.github.io/img/Basicだけ.png'}"
12,だけで(は)なく～(も),dakedehanakumo,"Not only X but also Y, where X and Y can be either a noun, a verb, or an adjective.Not only ~ but also ~",entries/13.html,B. 97,"{'Explanation': 'Spoiler English example sentencesNot only X but also Y, where X and Y can be either a noun, a verb, or an adjective.Not only ~ but also ~', 'Example Sentences': [('あの人はよく勉強するだけで(は)なくよく遊ぶ・遊びます。', 'He not only studies hard, but also plays a lot.'), ('あの人は頭がいいだけで(は)なくよく勉強(も)する・します。', 'He is not only smart; he studies hard, too.'), ('このうちは奇麗なだけで(は)なくとても安い(です)。', 'This house is not only beautiful but it is also inexpensive.'), ('ジョンだけで(は)なくメアリーも来た・来ました。', 'Not only John but also Mary came here.'), ('あの人は小説を読むだけではなく書きます。', 'He not only reads novels but also writes them.'), ('ブラウンさんは日本へ行っただけではなく住んだこともあります。', 'Mr. Brown has not only been to Japan, but has lived there.'), ('このアパートは高いだけでなく大変狭いです。', 'This apartment is not only expensive but it is also very small.'), ('幸子は頭がよかっただけではなく、とても親切でした。', 'Sachiko was not only bright but also very kind.'), ('この車は奇麗なだけではなく、よく走ります。', 'This car is not only pretty but also runs well.'), ('日本人だけではなくアメリカ人もよく働きます。', 'Not only Japanese but Americans also work hard.'), ('中村さんはアメリカやヨーロッパだけではなく東南アジアにもよく出張します。', 'Mr. Nakamura makes a business trip not only to America and Europe but also to Southeast Asia.'), ('ジョンソンさんは日本語だけではなく中国語も話せます。', 'Mr. Johnson can speak not only Japanese but also Chinese.')], 'Image Notes': 'https://postautistic.github.io/img/Basicだけではなく～も.png'}"
13,だろう,darou,An auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.Probably,entries/14.html,B. 100,"{'Explanation': 'Spoiler English example sentencesAn auxiliary indicating the speaker’s conjecture which is not based on any particular information or evidence.Probably', 'Example Sentences': [('アンダーソンさんは日本へ行くだろう・でしょう。', 'Ms. Anderson will probably go to Japan.'), ('あのアパートは高いでしょう。', 'That apartment is probably expensive.'), ('ロジャーはスキーが上手だろう。', 'Roger is probably good at skiing.'), ('あの人は中国人だろう。', 'That man is probably Chinese.')], 'Image Notes': 'https://postautistic.github.io/img/Basicだろう.png'}"
14,出す・だす,dasu,Something that has been latent is realised.Out; begin to; start to,entries/15.html,B. 102,"{'Explanation': 'Spoiler English example sentencesSomething that has been latent is realised.Out; begin to; start to', 'Example Sentences': [('車が動き出した・出しました。', 'The car started to move.'), ('急に雨が降り出した。', 'Suddenly it began to rain.'), ('一歳になって初めて歩き出した。', 'He started to walk only after he became a year old.'), ('そのアイディアは誰が考え出したんですか。', 'Who thought out that idea?'), ('一時間ぐらいかけてとうとうその本屋を探し出した。', 'After spending about an hour, I finally located that bookstore.')], 'Image Notes': 'https://postautistic.github.io/img/Basic出す.png'}"
15,で (1),de1,"A particle which indicates location, except for location of existence.At; in; on",entries/16.html,B. 105,"{'Explanation': 'Spoiler English example sentencesA particle which indicates location, except for location of existence.At; in; on', 'Example Sentences': [('私達は喫茶店でコーヒーを飲んだ・飲みました。', 'We drank coffee at a coffee shop.'), ('ゆり子はデパートで働いています。', 'Yuriko is working at a department store.'), ('オーストラリアでは十二月は夏だ。', 'In Australia it is summer in December.'), ('島崎さんは日本では元気でした。', 'Mr. Shimazaki was healthy in Japan.'), ('ヘレンは始めて舞台で歌った。', 'Helen sang on the stage for the first time.')], 'Image Notes': 'https://postautistic.github.io/img/Basicで.png'}"
16,で (2),de2,A particle which indicates the use of something for doing something.By; for; from; in; on; using; with,entries/17.html,B. 106,"{'Explanation': 'Spoiler English example sentencesA particle which indicates the use of something for doing something.By; for; from; in; on; using; with', 'Example Sentences': [('宮本さんは毎日バスで会社へ行く・行きます。', 'Mr. Miyamoto goes to his company by bus everyday.'), ('日本人は箸でご飯を食べる。', 'Japanese people eat rice with chopsticks.'), ('私達は日本語で話した。', 'We talked in Japanese.'), ('私はその映画をテレビで見ました。', 'I saw the movie on TV.'), ('豆腐は大豆で作ります。', 'We make toufu from soybeans.'), ('ラリーはこの椅子を十ドルで買った。', 'Larry bought this chair for ten dollars.'), ('ベッツィーはそのレポートを一日で書いたそうだ。', 'I heard that Betsy wrote the report in one day.')], 'Image Notes': 'https://postautistic.github.io/img/Basicで2.png'}"
17,で (3),de3,A particle (apparently derived from the て form of です) that indicates a weak causal relationship.And; because of; due to; because,entries/18.html,B. 107,"{'Explanation': 'Spoiler English example sentencesA particle (apparently derived from the て form of です) that indicates a weak causal relationship.And; because of; due to; because', 'Example Sentences': [('山口さんは病気で学校を休んだ・休みました。', ""Because Mr. Yamaguchi was ill, he didn't come to school.""), ('明日は期末試験で大変です。', ""I'm having an awful time because of tomorrow's final exam.""), ('大雨で橋が壊れた。', 'Heavy rain destroyed the bridge.'), ('昨日は夜、仕事でとても疲れた。', 'Because of my work I got very tired last night.'), ('父は交通事故で入院しました。', 'My father was hospitalised due to a traffic accident.')], 'Image Notes': 'https://postautistic.github.io/img/Basicで3.png'}"
18,で (4),de4,A particle which indicates the time when something terminates or the amount of time a period of activity has taken.At; on; in,entries/19.html,B. 109,"{'Explanation': 'Spoiler English example sentencesA particle which indicates the time when something terminates or the amount of time a period of activity has taken.At; on; in', 'Example Sentences': [('春学期は五月十日で終わる・終わります。', 'The spring term ends on May 10.'), ('このコンサートは十時で終わります。', ""This concert will be over at ten o'clock.""), ('私のパスポートは六月で切れる。', 'My passport expires in June.'), ('アメリカに来てから今日で三年になる。', ""It's been three years since I came to America."")], 'Image Notes': 'https://postautistic.github.io/img/Basicで4.png'}"
19,でも,demo,The て form of です plus も ‘even’.Even,entries/20.html,B. 111,"{'Explanation': 'Spoiler English example sentencesThe て form of です plus も ‘even’.Even', 'Example Sentences': [('先生でも間違う・間違います。', 'Even a teacher makes mistakes.'), ('私は難しい仕事でもする・します。', 'I will even do a difficult job.'), ('ここからでも富士山が見える・見えます。', 'Even from here you can see Mt. Fuji.'), ('子供でもそんなことは分かりますよ。', 'Even a child can understand that sort of thing.'), ('お会いしたいんですが、日曜日でも構いませんか。', ""I'd like to see you, but it is all right to see you even on Sunday?""), ('あの人は魚でも肉でも食べます。', 'He eats anything, whether it be fish or meat.')], 'Image Notes': 'https://postautistic.github.io/img/Basicでも.png'}"
20,どう,dou,An interrogative adverb which asks about the state of someone/something or the way of doing something.How; in what way,entries/21.html,B. 114,"{'Explanation': 'Spoiler English example sentencesAn interrogative adverb which asks about the state of someone/something or the way of doing something.How; in what way', 'Example Sentences': [('お母さんはどう（ですか）。', ""How's your mother?""), ('新しいアパートはどうですか。', ""How's your new apartment?""), ('コーヒーはどうですか。', 'How is the coffee?/Would you like coffee?/How about coffee?'), ('土曜日はどう？', 'How about Saturday?')], 'Image Notes': 'https://postautistic.github.io/img/Basicどう.png'}"
21,へ,he,A particle that indicates the direction toward which some directional movement or action proceeds.To; towards,entries/22.html,B. 116,"{'Explanation': 'Spoiler English example sentencesA particle that indicates the direction toward which some directional movement or action proceeds.To; towards', 'Example Sentences': [('私は先週京都へ旅行に行った・行きました。', 'I went on a trip to Kyoto last week.'), ('私は札幌のうちへ飛行機で帰った。', 'I went back home to Sapporo by plane.'), ('地震だったのでいそいで外へ出た。', 'It was an earthquake, so I went outside quickly.'), ('父へ手紙を出したが、まだ返事が来ない。', 'I sent a letter to my father, but his reply has not come yet.')], 'Image Notes': 'https://postautistic.github.io/img/Basicへ.png'}"
22,が (1),ga1,A particle which indicates the subject.,entries/23.html,B. 118,"{'Explanation': 'Spoiler English example sentencesA particle which indicates the subject.', 'Example Sentences': [('雨が降っている・います。', 'Rain is falling.'), ('私の部屋にはステレオがあります。', 'There is a stereo in my room.'), ('あ、のり子が走っている。', 'Oh, Noriko is running.'), ('A:このレストランは何が美味しいですか。B:ステーキが美味しいです。', 'A: What is good in this restaurant? B: Steak is good.')], 'Image Notes': 'https://postautistic.github.io/img/Basicが.png'}"
23,が (2),ga2,A disjunctive coordinate conjunction that combines two sentences.But,entries/24.html,B. 120,"{'Explanation': 'Spoiler English example sentencesA disjunctive coordinate conjunction that combines two sentences.But', 'Example Sentences': [('ジョンは来た・来ましたがメアリーは来なかった・来ませんでした。', ""John came but Mary didn't (come).""), ('私はビールは飲むが酒は飲まない。', ""I drink beer but don't drink sake.""), ('旅行をしたいがお金がない。', ""I want to travel but I don't have the money."")], 'Image Notes': 'https://postautistic.github.io/img/Basicが2.png'}"
24,がる,garu,An auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~Show signs of ~,entries/25.html,B. 123,"{'Explanation': 'Spoiler English example sentencesAn auxiliary verb attached to a psychological/physiological adjective meaning a person other than the speaker shows signs of ~Show signs of ~', 'Example Sentences': [('一男はスポーツカーを欲しがった・がりました。', 'Kazuo showed signs of wanting a sports car.'), ('上田さんはアイスクリームを食べたがった・がりました。', 'Mr Uedo showed signs of wanting to eat ice cream.'), ('スーザンは一人で淋しがっています。', 'Susan feels lonely by herself.'), ('子供が眠たがっている。', 'My child wants to go to sleep.')], 'Image Notes': 'https://postautistic.github.io/img/Basicがる.png'}"
25,ごろ,goro,Approximately (with a specific point of time).About; around,entries/26.html,B. 126,"{'Explanation': 'Spoiler English example sentencesApproximately (with a specific point of time).About; around', 'Example Sentences': [('鈴木さんは朝七時ごろうちを出る・出ます。', ""Mr. Suzuki leaves home at about 7:00 o'clock in the morning.""), ('A:いつごろ北京に行きますか。\u2003\u2003B:来年の六月ごろ行きます。', ""A: About when are you going to Beijing?\u2003\u2003B: I'm going there around June of next year.""), ('A:今朝は何時ごろまで寝ていましたか。\u2003\u2003B:十時ごろまで寝ていました。', ""A: Until about what time were you asleep this morning?\u2003\u2003B: I was asleep until about 10 o'clock.""), ('去年の今ごろは大雪でしたね。', ""About this time last year it snowed heavily, didn't it?"")], 'Image Notes': 'https://postautistic.github.io/img/Basicごろ.png'}"
26,ごとに,gotoni,Something takes place regularly in succession after a certain temporal or spatial interval.Every,entries/27.html,B. 128,"{'Explanation': 'Spoiler English example sentencesSomething takes place regularly in succession after a certain temporal or spatial interval.Every', 'Example Sentences': [('私は三時間ごとに薬を飲んだ・飲みました。', 'I took medicine every three hours.'), ('正月は家ごとに門松を立てる・立てます。', ""They put up pine tree decorations at every house on New Year's Day.""), ('一課ごとに試験がある。', 'There is a test after every lesson.'), ('学期ごとに先生が変わる。', 'Every semester teachers change.'), ('木村さんは会う人ごとに挨拶している。', 'Mr. Kimura greets everyone he meets.'), ('三日ごとにテニスをしています。', ""I'm playing tennis every third day."")], 'Image Notes': 'https://postautistic.github.io/img/Basicごとに.png'}"
27,始める・はじめる,hajimeru,Someone/something begins to do something or begins to be in some state.Begin to,entries/28.html,B. 131,"{'Explanation': 'Spoiler English example sentencesSomeone/something begins to do something or begins to be in some state.Begin to', 'Example Sentences': [('明日からレポートを書き始める・始めます。', ""I'll begin to write my paper tomorrow.""), ('私は八月から源氏物語を読み始めました。', 'I began to read The Tale of Genji in August.'), ('日本の経済は１９６４年の東京オリンピックのころから強くなり始めた。', 'The Japanese economy began to strengthen about the time of the 1964 Tokyo Olympics.'), ('A:いつから切手を集め始めたんですか。\u2003\u2003B:子供の時から集め始めました。', 'A: When did you start to collect stamps?\u2003\u2003B: I started to collect them (literally: since) I was a child.')], 'Image Notes': 'https://postautistic.github.io/img/Basicはじめる.png'}"
28,はず,hazu,A dependant noun which expresses the speaker’s expectation that something will take place or took place or that someone/something is or was in some state.I expect that ~; it is expected that ~; ~ is expected to; I am fairly certain that ~; should; ought to; it is natural that ~; no wonder ~,entries/29.html,B. 133,"{'Explanation': 'Spoiler English example sentencesA dependant noun which expresses the speaker’s expectation that something will take place or took place or that someone/something is or was in some state.I expect that ~; it is expected that ~; ~ is expected to; I am fairly certain that ~; should; ought to; it is natural that ~; no wonder ~', 'Example Sentences': [('クラークさんはパーティーに行くはずだ・です。', 'I expect that Mr. Clark will go to the party.'), ('大野先生はサンドラを知っているはずです。', 'I expect that Professor Ono knows Sandra.'), ('あの本は高かったはずだ。', 'I expect that book was expensive.'), ('そのアパートは奇麗なはずです。', 'I expect that apartment is clean.'), ('カールソンさんは昔先生だったはずだ。', ""I'm fairly sure that Ms. Carlson was a teacher before."")], 'Image Notes': 'https://postautistic.github.io/img/Basicはず.png'}"
29,ほど,hodo,A particle which indicates an extent or a degree to which someone/something does something or is in some state.To the extent of; to the extent that ~; (not as) ~ as ~; about,entries/30.html,B. 135,"{'Explanation': 'Spoiler English example sentencesA particle which indicates an extent or a degree to which someone/something does something or is in some state.To the extent of; to the extent that ~; (not as) ~ as ~; about', 'Example Sentences': [('私はケンほど強くない・強くありません。', ""I'm not as strong as Ken.""), ('この仕事は子共でも出来るほど易しい・易しいです。', 'This job is so easy that even a child can do it.'), ('僕は君ほど速く歩けません。', ""I can't walk as fast as you can.""), ('ジェニファーほどよく勉強する学生はいない。', 'There is no student who studies as hard as Jennifer.'), ('私は西田さんがあれほどピアノが弾けるとは思わなかった。', ""I didn't think that Mr. Nishida could play the piano that well.""), ('ルイスさんの日本語は太田先生も外国人だと気づかなかったほど上手です。', ""Mr. Lewis' Japanese is so good that even Professor Ota didn't notice he was a foreigner."")], 'Image Notes': 'https://postautistic.github.io/img/Basicほど.png'}"
30,ほうがいい,hougaii,It is strongly suggested that someone do something.Had better do something,entries/31.html,B. 138,"{'Explanation': 'Spoiler English example sentencesIt is strongly suggested that someone do something.Had better do something', 'Example Sentences': [('日本語の本を読んだほうがいい・いいです。', ""You'd better read Japanese books.""), ('野菜も食べたほうがいいよ。', ""You'd better eat vegetables, too.""), ('もう帰ったほうがいいですか。', 'Had I better go home now?'), ('和子はもっと英語を勉強したほうがいいね。', 'Kazuko had better study English harder.')], 'Image Notes': 'https://postautistic.github.io/img/Basicほうがいい.png'}"
31,ほうが~より,hougayori,"Comparing two entities, one is in some state or does something more than the other.~ be more (adjective) than ~; ~ do something more (adverb) than ~ do",entries/32.html,B. 140,"{'Explanation': 'Spoiler English example sentencesComparing two entities, one is in some state or does something more than the other.~ be more (adjective) than ~; ~ do something more (adverb) than ~ do', 'Example Sentences': [('石田さんのほうが私より若い・若いです。', 'Mr. Ishida is younger than I am.'), ('私のほうが上田さんよりよく食べる・食べます。', 'I eat more than Ms. Ueda does.'), ('車で行くほうがバスで行くより安い・安いです。', 'Going by car is cheaper than going by bus.'), ('このカメラのほうがあのカメラより好きです。', 'I like this camera better than that camera.'), ('ジェフのほうが私より速く走れる。', 'Jeff can run faster than I can.'), ('私が話すほうが君が話すよりいいでしょう。', ""It's probably better for me to talk than for you to talk.""), ('もちろん、安いほうが高いより嬉しいです。', ""Of course, I'm happier when it is cheap than when it is expensive.""), ('子供は元気なほうが静かなより安心だ。', 'Talking about children, you feel more at ease when they are lively than when they are quiet.'), ('私は女であるほうが男であるより楽しいと思う。', 'I think it’s more enjoyable to be a woman than to be a man.')], 'Image Notes': 'https://postautistic.github.io/img/Basicほうが～より.png'}"
32,欲しい・ほしい (1),hoshii1,Something is desired by the speaker.Want (something),entries/33.html,B. 144,"{'Explanation': 'Spoiler English example sentencesSomething is desired by the speaker.Want (something)', 'Example Sentences': [('私は車が欲しい・欲しいです。', 'I want a car.'), ('弟は僕の自転車を欲しがっている・います。', 'My little brother wants a bike.'), ('私は日本人の友達が欲しい。', 'I want a Japanese friend.'), ('あなたは今何が欲しいですか。', 'What do you want now?'), ('パムはステレオを欲しがっている。', 'Pam wants a stereo.')], 'Image Notes': 'https://postautistic.github.io/img/Basic欲しい.png'}"
33,欲しい・ほしい (2),hoshii2,Want someone (who is not higher in status than the speaker) to do something.Want (someone) to do (something),entries/34.html,B. 146,"{'Explanation': 'Spoiler English example sentencesWant someone (who is not higher in status than the speaker) to do something.Want (someone) to do (something)', 'Example Sentences': [('私はあなたに英語を教えて欲しい・欲しいです。', 'I want you to teach me English.'), ('私は子供達に私と一緒に住んで欲しい。', 'I want my children to live together with me.'), ('あなたは誰に来て欲しいですか。', 'Who do you want to come?')], 'Image Notes': 'https://postautistic.github.io/img/Basic欲しい2.png'}"
34,一番・いちばん,ichiban,A superlative marker.Most,entries/35.html,B. 148,"{'Explanation': 'Spoiler English example sentencesA superlative marker.Most', 'Example Sentences': [('クラス(の中)で大川さんが一番頭がいい。', 'Mr. Okawa is the brightest in the class.'), ('A:この中でどの映画が一番面白いですか。\u2003\u2003B:この日本の映画でしょう。', 'A: Among these, which movie is the most interesting?\u2003\u2003B: This Japanese movie, I guess.'), ('A:松本さんと池田さんと清水さんの中で、誰が一番（よく）出来ますか。\u2003\u2003B:池田さんです。', 'A: Among Mr. Matsumoto, Mr. Ikeda and Mr. Shimizu, who is the best student.\u2003\u2003B: Mr. Ikeda is.'), ('日本で一番奇麗な所はどこですか。', 'Where is the most scenic place in Japan?')], 'Image Notes': 'https://postautistic.github.io/img/Basic一番.png'}"
35,行く・いく (1),iku1,Someone or something moves in a direction away from the speaker or the speaker’s viewpoint.Go; come,entries/36.html,B. 149,"{'Explanation': 'Spoiler English example sentencesSomeone or something moves in a direction away from the speaker or the speaker’s viewpoint.Go; come', 'Example Sentences': [('田中さんは来週アメリカへ・に行く・行きます。', 'Mr. Tanaka is going to America next week.'), ('私は東京から大阪までバスで行った・行きました。', 'I went from Tokyo to Osaka by bus.'), ('私は毎朝八時に会社に行く。', 'I go to work at eight every morning.'), ('A:今晩私のうちでパーティーをしますが来ませんか。\u2003\u2003B:はい、行きます。', ""A: We are going to have a party at my place tonight. Wouldn't you like to come?\u2003\u2003B: Yes, I'll come.""), ('あなたにもその知らせは行きましたか。', 'Did the notice go to you, too?'), ('その村にもバスは行っている。', 'The bus goes to the village, too.')], 'Image Notes': 'https://postautistic.github.io/img/Basic行く.png'}"
