Index,Word,Kana,Meaning,Part of Speech,Example JP,Example EN,Jisho Link
39,ところ,ところ,place,Noun,私は友達のところに泊まった。,I stayed at my friend's place for the night.,http://jisho.org/search/%E3%81%A8%E3%81%93%E3%82%8D
40,一日,ついたち,1st of the month,Noun,来月の一日は空いていますか。,Are you free on the 1st of next month?,http://jisho.org/search/%E4%B8%80%E6%97%A5
41,十日,とおか,"ten days, 10th of the month",Noun,十日後に帰ります。,I'll come home in ten days.,http://jisho.org/search/%E5%8D%81%E6%97%A5
42,七日,なのか,"seven days, 7th of the month",Noun,先月の七日に孫が生まれました。,My grandchild was born on the seventh of last month.,http://jisho.org/search/%E4%B8%83%E6%97%A5
43,四日,よっか,"four days, 4th of the month",Noun,新学期は来月の四日からです。,The new school term starts on the fourth of next month.,http://jisho.org/search/%E5%9B%9B%E6%97%A5
44,月,つき,moon,Noun,今夜は月がとてもきれいです。,The moon looks so beautiful tonight.,http://jisho.org/search/%E6%9C%88
45,水,みず,water,Noun,水を一杯ください。,Please give me a glass of water.,http://jisho.org/search/%E6%B0%B4
46,金,かね,money,Noun,これはかなり金がかかった。,This cost quite a bit of money.,http://jisho.org/search/%E9%87%91
47,日曜日,にちようび,Sunday,Noun,日曜日は海に行きました。,We went to the seaside on Sunday.,http://jisho.org/search/%E6%97%A5%E6%9B%9C%E6%97%A5
48,土曜日,どようび,Saturday,Noun,土曜日の夜はクラブに行きます。,I'm going to a club Saturday night.,http://jisho.org/search/%E5%9C%9F%E6%9B%9C%E6%97%A5
49,やる,やる,do,Verb,一緒に宿題をやろう。,Let's do our homework together.,http://jisho.org/search/%E3%82%84%E3%82%8B
50,金曜日,きんようび,Friday,Noun,金曜日の夜は友達と出かけます。,I go out with my friends on Friday nights.,http://jisho.org/search/%E9%87%91%E6%9B%9C%E6%97%A5
51,月曜日,げつようび,Monday,Noun,月曜日に会いましょう。,Let's meet on Monday.,http://jisho.org/search/%E6%9C%88%E6%9B%9C%E6%97%A5
52,木曜日,もくようび,Thursday,Noun,木曜日は仕事が休みです。,Thursday is my day off work.,http://jisho.org/search/%E6%9C%A8%E6%9B%9C%E6%97%A5
53,曜日,ようび,day of the week,Noun,曜日を間違えました。,I got the day of the week wrong.,http://jisho.org/search/%E6%9B%9C%E6%97%A5
54,火曜日,かようび,Tuesday,Noun,火曜日に会議があります。,There's a meeting on Tuesday.,http://jisho.org/search/%E7%81%AB%E6%9B%9C%E6%97%A5
55,水曜日,すいようび,Wednesday,Noun,水曜日はバイトがあります。,I have a part-time job on Wednesdays.,http://jisho.org/search/%E6%B0%B4%E6%9B%9C%E6%97%A5
56,週,しゅう,week,Noun,その次の週は空いてますか。,Are you free the following week?,http://jisho.org/search/%E9%80%B1
57,年,とし,"year, age",Noun,新しい年が始まりました。,A new year has started.,http://jisho.org/search/%E5%B9%B4
58,分かる,わかる,understand,Verb,質問の意味は分かりましたか。,Did you understand the meaning of the question?,http://jisho.org/search/%E5%88%86%E3%81%8B%E3%82%8B
59,そう,そう,"in such manner, that way",Adverb,私もそう思います。,That's what I think too.,http://jisho.org/search/%E3%81%9D%E3%81%86
60,何,なに,"what, which",Noun,夕食には何を食べたいですか。,What would you like for supper?,http://jisho.org/search/%E4%BD%95
61,先,さき,"ahead, first",Noun,お先にどうぞ。,Please go ahead.,http://jisho.org/search/%E5%85%88
62,今年,ことし,this year,Noun,今年はイタリアに旅行したい。,I want to travel to Italy this year.,http://jisho.org/search/%E4%BB%8A%E5%B9%B4
63,今,いま,now,Adverb,彼は今、勉強しています。,He's studying now.,http://jisho.org/search/%E4%BB%8A
64,今日,きょう,today,Noun,今日は仕事がありません。,I have no work today.,http://jisho.org/search/%E4%BB%8A%E6%97%A5
65,今月,こんげつ,this month,Noun,今月はとても忙しい。,I'm very busy this month.,http://jisho.org/search/%E4%BB%8A%E6%9C%88
66,今週,こんしゅう,this week,Noun,今週は日本語のテストがあります。,There's a Japanese test this week.,http://jisho.org/search/%E4%BB%8A%E9%80%B1
67,来る,くる,come,Verb,彼は昼過ぎに来ます。,He'll come after lunch.,http://jisho.org/search/%E6%9D%A5%E3%82%8B
68,来年,らいねん,next year,Noun,来年一緒に旅行しましょう。,Let's travel together next year.,http://jisho.org/search/%E6%9D%A5%E5%B9%B4
69,もう,もう,"already, yet",Adverb,彼はもう帰りました。,He's already gone home.,http://jisho.org/search/%E3%82%82%E3%81%86
70,行く,いく,go,Verb,日曜日は図書館に行きます。,I go to the library on Sundays.,http://jisho.org/search/%E8%A1%8C%E3%81%8F
71,帰る,かえる,"return, go back",Verb,家に帰ろう。,Let's go home.,http://jisho.org/search/%E5%B8%B0%E3%82%8B
72,大きい,おおきい,big,Adjective,あの大きい建物は何ですか。,What's that big building?,http://jisho.org/search/%E5%A4%A7%E3%81%8D%E3%81%84
73,小さい,ちいさい,small,Adjective,小さい花が咲いています。,Small flowers are blooming.,http://jisho.org/search/%E5%B0%8F%E3%81%95%E3%81%84
74,少ない,すくない,"few, little",Adjective,今年は雨が少ないです。,There's not much rain this year.,http://jisho.org/search/%E5%B0%91%E3%81%AA%E3%81%84
75,少し,すこし,"a bit, a little while",Adverb,少し疲れました。,I'm a little tired.,http://jisho.org/search/%E5%B0%91%E3%81%97
76,多い,おおい,lots of,Adjective,京都にはお寺が多い。,There are a lot of temples in Kyoto.,http://jisho.org/search/%E5%A4%9A%E3%81%84
77,多分,たぶん,"probably, perhaps",Adverb,彼女は多分家で寝ています。,She's probably sleeping at home.,http://jisho.org/search/%E5%A4%9A%E5%88%86
78,上げる,あげる,"raise, improve",Verb,彼は荷物をあみだなに上げた。,He put the luggage on the luggage rack.,http://jisho.org/search/%E4%B8%8A%E3%81%92%E3%82%8B
79,よく,よく,often,Adverb,彼女はよく旅行に行きます。,She often goes on holiday.,http://jisho.org/search/%E3%82%88%E3%81%8F
80,上る,のぼる,go up,Verb,猫が屋根に上っている。,The cat's up on the roof.,http://jisho.org/search/%E4%B8%8A%E3%82%8B
81,上,うえ,"up, above",Noun,上を向いて。,Look up.,http://jisho.org/search/%E4%B8%8A
82,下,した,"under, below",Noun,財布は机の下にあった。,My purse was under the desk.,http://jisho.org/search/%E4%B8%8B
83,右,みぎ,right,Noun,右のポケットにハンカチが入っています。,There's a handkerchief in my right pocket.,http://jisho.org/search/%E5%8F%B3
84,左,ひだり,left,Noun,そこを左に曲がってください。,Please turn left there.,http://jisho.org/search/%E5%B7%A6
85,方,ほう,"direction, side",Noun,彼は私の方を見ました。,He looked at me.,http://jisho.org/search/%E6%96%B9
86,大人,おとな,adult,Noun,お酒は大人になってから。,You can drink alcohol when you're an adult.,http://jisho.org/search/%E5%A4%A7%E4%BA%BA
87,人,ひと,person,Noun,彼は優しい人です。,He's a nice guy.,http://jisho.org/search/%E4%BA%BA
88,一人,ひとり,"one, one person",Noun,そこには私一人しかいなかった。,I was the only one there.,http://jisho.org/search/%E4%B8%80%E4%BA%BA
89,どう,どう,"how, what",Adverb,あなたはどう思いますか。,What do you think?,http://jisho.org/search/%E3%81%A9%E3%81%86
90,入れる,いれる,put in,Verb,彼はかばんに手帳を入れた。,He put the appointment book in his bag.,http://jisho.org/search/%E5%85%A5%E3%82%8C%E3%82%8B
91,入る,はいる,enter,Verb,寒いので中に入ってください。,It's cold so please come inside.,http://jisho.org/search/%E5%85%A5%E3%82%8B
92,出る,でる,"go out, leave",Verb,今朝は早く家を出ました。,I left the house early this morning.,http://jisho.org/search/%E5%87%BA%E3%82%8B
93,出来る,できる,"can do, be good at",Verb,彼女はイタリア語が出来ます。,She knows Italian.,http://jisho.org/search/%E5%87%BA%E6%9D%A5%E3%82%8B
94,出す,だす,take out,Verb,彼はかばんから教科書を出した。,He took the textbook out of his bag.,http://jisho.org/search/%E5%87%BA%E3%81%99
95,本,ほん,"book, volume",Noun,本を１冊買いました。,I bought one book.,http://jisho.org/search/%E6%9C%AC
96,休む,やすむ,"take a day off, take a break",Verb,明日、会社を休みます。,I'm off work tomorrow.,http://jisho.org/search/%E4%BC%91%E3%82%80
97,体,からだ,"body, health",Noun,私は体が丈夫だ。,I'm physically strong.,http://jisho.org/search/%E4%BD%93
98,目,め,eye,Noun,彼女は青い目をしています。,She has blue eyes.,http://jisho.org/search/%E7%9B%AE
99,どこ,どこ,where,Noun,あの本をどこに置きましたか。,Where did you put that book?,http://jisho.org/search/%E3%81%A9%E3%81%93
100,口,くち,mouth,Noun,口を大きく開けてください。,"Open wide, please.",http://jisho.org/search/%E5%8F%A3
101,耳,みみ,"ear, hearing",Noun,彼女は耳がよく聞こえません。,Her hearing isn't very good.,http://jisho.org/search/%E8%80%B3
102,上手,じょうず,"good, skilled",Adjectival Noun,妹は歌が上手です。,My little sister can sing.,http://jisho.org/search/%E4%B8%8A%E6%89%8B
103,手,て,hand,Noun,分かった人は手を上げてください。,Please raise your hand if you understand.,http://jisho.org/search/%E6%89%8B
104,足,あし,"leg, foot",Noun,彼は足が長い。,He has long legs.,http://jisho.org/search/%E8%B6%B3
105,空く,すく,be empty,Verb,レストランは空いていました。,The restaurant was empty.,http://jisho.org/search/%E7%A9%BA%E3%81%8F
106,男,おとこ,"man, male",Noun,男の人が私たちに話しかけた。,This guy began talking to us.,http://jisho.org/search/%E7%94%B7
107,女,おんな,"woman, girl",Noun,店員は若い女の人でした。,The salesclerk was a young woman.,http://jisho.org/search/%E5%A5%B3
108,子供,こども,"child, kid",Noun,電車で子供が騒いでいた。,Kids were making a racket in the train.,http://jisho.org/search/%E5%AD%90%E4%BE%9B
109,あげる,あげる,give,Verb,この本、あなたにあげます。,I'll give you this book.,http://jisho.org/search/%E3%81%82%E3%81%92%E3%82%8B
110,好き,すき,"favorite, liked",Adjectival Noun,私はワインが好きです。,I like wine.,http://jisho.org/search/%E5%A5%BD%E3%81%8D
111,大好き,だいすき,love,Adjective,私は犬が大好きだ。,I love dogs.,http://jisho.org/search/%E5%A4%A7%E5%A5%BD%E3%81%8D
112,私,わたし,I,Noun,私が行きましょう。,Why don't I go.,http://jisho.org/search/%E7%A7%81
113,友達,ともだち,"friend, companion",Noun,私には友達がたくさんいます。,I have a lot of friends.,http://jisho.org/search/%E5%8F%8B%E9%81%94
114,家,うち,"house, home",Noun,家に遊びに来てください。,Please come over to my house.,http://jisho.org/search/%E5%AE%B6
115,気,き,"spirit, temperament",Noun,彼は意外に気が小さい。,He's unexpectedly timid.,http://jisho.org/search/%E6%B0%97
116,元気,げんき,"healthy, energetic",Adjective,おかげさまで元気です。,"I'm fine, thank you.",http://jisho.org/search/%E5%85%83%E6%B0%97
117,天気,てんき,weather,Noun,今日はいい天気ですね。,It's nice out today.,http://jisho.org/search/%E5%A4%A9%E6%B0%97
118,晴れる,はれる,"be sunny, clear up",Verb,明日は晴れるといいですね。,I hope it'll be sunny tomorrow.,http://jisho.org/search/%E6%99%B4%E3%82%8C%E3%82%8B
119,こう,こう,"like this, this kind of",Adverb,こう小さい字は読めない。,I can't read such small letters.,http://jisho.org/search/%E3%81%93%E3%81%86
120,昨日,きのう,yesterday,Noun,昨日、友達に会った。,I met a friend yesterday.,http://jisho.org/search/%E6%98%A8%E6%97%A5
121,開ける,あける,"open, unlock",Verb,窓を開けてください。,Please open the window.,http://jisho.org/search/%E9%96%8B%E3%81%91%E3%82%8B
122,開く,ひらく,open,Verb,32ページを開いてください。,Please open to page 32.,http://jisho.org/search/%E9%96%8B%E3%81%8F
123,閉じる,とじる,close,Verb,教科書を閉じてください。,Please close your textbooks.,http://jisho.org/search/%E9%96%89%E3%81%98%E3%82%8B
124,閉める,しめる,"shut, close",Verb,ちゃんとドアを閉めてよ。,Close the door properly.,http://jisho.org/search/%E9%96%89%E3%82%81%E3%82%8B
125,閉まる,しまる,"be shut, be closed",Verb,お店はもう閉まっていました。,The shop had already closed.,http://jisho.org/search/%E9%96%89%E3%81%BE%E3%82%8B
126,聞く,きく,"hear, ask",Verb,彼女はラジオを聞いています。,She's listening to the radio.,http://jisho.org/search/%E8%81%9E%E3%81%8F
127,時間,じかん,"time, hour",Noun,今は時間がありません。,I don't have time now.,http://jisho.org/search/%E6%99%82%E9%96%93
128,高い,たかい,"high, tall",Adjective,これがこの町で一番高いビルです。,This is the tallest building in town.,http://jisho.org/search/%E9%AB%98%E3%81%84
129,くれる,くれる,be given,Verb,友達が誕生日プレゼントをくれた。,My friend gave me a birthday present.,http://jisho.org/search/%E3%81%8F%E3%82%8C%E3%82%8B
130,安い,やすい,"inexpensive, cheap",Adjective,この服はとても安かった。,These clothes were very cheap.,http://jisho.org/search/%E5%AE%89%E3%81%84
131,低い,ひくい,"low, short",Adjective,彼は背が低い。,He's short.,http://jisho.org/search/%E4%BD%8E%E3%81%84
132,前,まえ,"front, before",Noun,その店の前で会いましょう。,Let's meet in front of the shop.,http://jisho.org/search/%E5%89%8D
133,後,あと,after,Adverb,仕事の後、映画を見た。,I saw a movie after work.,http://jisho.org/search/%E5%BE%8C
134,後ろ,うしろ,"back, behind",Noun,後ろを向いて。,Turn around.,http://jisho.org/search/%E5%BE%8C%E3%82%8D
135,午後,ごご,"afternoon, p.m.",Noun,明日の午後、お客様が来る。,A guest is coming to visit tomorrow afternoon.,http://jisho.org/search/%E5%8D%88%E5%BE%8C
136,午前,ごぜん,"morning, a.m.",Noun,午前9時のニュースです。,And now for the 9.00 a.m. news.,http://jisho.org/search/%E5%8D%88%E5%89%8D
137,朝,あさ,morning,Noun,気持ちのいい朝です。,It's a pleasant morning.,http://jisho.org/search/%E6%9C%9D
138,昼,ひる,"daytime, midday",Noun,私は昼のドラマを毎日見ます。,I watch daytime dramas every day.,http://jisho.org/search/%E6%98%BC
139,かなり,かなり,"fairly, rather",Adverb,彼はかなり英語が上手です。,He's pretty good at English.,http://jisho.org/search/%E3%81%8B%E3%81%AA%E3%82%8A
140,晩,ばん,evening (usually from sunset to bedtime),Noun,晩ご飯は食べましたか。,Have you had dinner?,http://jisho.org/search/%E6%99%A9
141,今晩,こんばん,"this evening, tonight",Noun,今晩のパーティーは何時からですか。,From what time is the party tonight?,http://jisho.org/search/%E4%BB%8A%E6%99%A9
142,夜,よる,night (from sunset to sunrise),Noun,きのうの夜は家にいました。,I was at home last night.,http://jisho.org/search/%E5%A4%9C
143,食べる,たべる,eat,Verb,昨日タイカレーを食べました。,I had Thai curry yesterday.,http://jisho.org/search/%E9%A3%9F%E3%81%B9%E3%82%8B
144,飲む,のむ,drink,Verb,友達とお酒を飲んでいます。,I'm drinking sake with a friend.,http://jisho.org/search/%E9%A3%B2%E3%82%80
145,ご飯,ごはん,"cooked rice, meal",Noun,私はパンよりご飯が好きだ。,I prefer rice to bread.,http://jisho.org/search/%E3%81%94%E9%A3%AF
146,買う,かう,buy,Verb,郵便局で切手を買いました。,I bought a stamp at the post office.,http://jisho.org/search/%E8%B2%B7%E3%81%86
147,見る,みる,"see, look at",Verb,私は絵を見るのが好きです。,I like looking at pictures.,http://jisho.org/search/%E8%A6%8B%E3%82%8B
148,見せる,みせる,show,Verb,その写真を見せてください。,Please show me those pictures.,http://jisho.org/search/%E8%A6%8B%E3%81%9B%E3%82%8B
149,もっと,もっと,more,Adverb,もっと近くに来てください。,Please come closer.,http://jisho.org/search/%E3%82%82%E3%81%A3%E3%81%A8
150,見つける,みつける,find,Verb,新しい仕事を見つけました。,I found a new job.,http://jisho.org/search/%E8%A6%8B%E3%81%A4%E3%81%91%E3%82%8B
151,見える,みえる,be visible,Verb,ここから富士山がよく見えます。,You can see Mount Fuji well from here.,http://jisho.org/search/%E8%A6%8B%E3%81%88%E3%82%8B
152,見つかる,みつかる,"be found, be caught",Verb,メガネが見つかりません。,I can't find my glasses.,http://jisho.org/search/%E8%A6%8B%E3%81%A4%E3%81%8B%E3%82%8B
153,言う,いう,"say, tell",Verb,上司が「一杯、飲もう。」と言った。,"""My boss said: """"Let's have a drink.""""""",http://jisho.org/search/%E8%A8%80%E3%81%86
154,話す,はなす,"speak, tell",Verb,母と電話で話しました。,I spoke to my mother on the phone.,http://jisho.org/search/%E8%A9%B1%E3%81%99
155,読む,よむ,read,Verb,彼女は雑誌を読んでいます。,She's reading the magazine.,http://jisho.org/search/%E8%AA%AD%E3%82%80
156,漢字,かんじ,"character, kanji",Noun,漢字は中国から来ました。,Kanji came from China.,http://jisho.org/search/%E6%BC%A2%E5%AD%97
157,書く,かく,write,Verb,彼に手紙を書きました。,I wrote him a letter.,http://jisho.org/search/%E6%9B%B8%E3%81%8F
158,覚える,おぼえる,"memorize, learn",Verb,妹は平仮名を全部覚えました。,My little sister learned all the hiragana.,http://jisho.org/search/%E8%A6%9A%E3%81%88%E3%82%8B
159,そこ,そこ,there,Pronoun,そこに座ってください。,Please sit there.,http://jisho.org/search/%E3%81%9D%E3%81%93
160,会う,あう,meet,Verb,また会いましょう。,Let's meet again.,http://jisho.org/search/%E4%BC%9A%E3%81%86
161,仕事,しごと,"work, job",Noun,3月は仕事が忙しい。,I have a lot of work in March.,http://jisho.org/search/%E4%BB%95%E4%BA%8B
162,場合,ばあい,"situation, case",Noun,分からない場合は私に聞いてください。,Please ask me if you don't understand.,http://jisho.org/search/%E5%A0%B4%E5%90%88
163,車,くるま,"car, automobile",Noun,弟が車を買った。,My younger brother bought a car.,http://jisho.org/search/%E8%BB%8A
164,電車,でんしゃ,train,Noun,私は電車で通学しています。,I go to school by train.,http://jisho.org/search/%E9%9B%BB%E8%BB%8A
165,駅,えき,railway station,Noun,駅はどこですか。,Where's the station?,http://jisho.org/search/%E9%A7%85
166,道,みち,"road, street",Noun,この道を真っ直ぐ行くと駅です。,Go straight along this road to get to the station.,http://jisho.org/search/%E9%81%93
167,他,ほか,other,Noun,他に方法がありません。,There's no other way.,http://jisho.org/search/%E4%BB%96
168,止める,やめる,"stop, give up, abolish",Verb,話すのを止めてください。,"Stop talking, please.",http://jisho.org/search/%E6%AD%A2%E3%82%81%E3%82%8B
169,ここ,ここ,here,Pronoun,ここに本があります。,There's a book here.,http://jisho.org/search/%E3%81%93%E3%81%93
170,歩く,あるく,"walk, go on foot",Verb,駅まで歩きましょう。,Let's walk to the station.,http://jisho.org/search/%E6%AD%A9%E3%81%8F
171,走る,はしる,run,Verb,彼は毎晩3キロ走っています。,Every night he runs three kilometers.,http://jisho.org/search/%E8%B5%B0%E3%82%8B
172,近く,ちかく,"near, close to",Adverb,駅の近くで食事をした。,I ate near the station.,http://jisho.org/search/%E8%BF%91%E3%81%8F
173,近い,ちかい,"near, soon",Adjective,駅はここから近いです。,The station is near here.,http://jisho.org/search/%E8%BF%91%E3%81%84
174,近く,ちかく,"vicinity, nearby",Noun,私の家は駅の近くです。,My house is near the station.,http://jisho.org/search/%E8%BF%91%E3%81%8F
175,遠い,とおい,"far, distant",Adjective,家から学校までは遠いです。,It's a long way from my house to the school.,http://jisho.org/search/%E9%81%A0%E3%81%84
176,長い,ながい,long,Adjective,彼女の髪はとても長い。,Her hair is very long.,http://jisho.org/search/%E9%95%B7%E3%81%84
177,短い,みじかい,"short, brief",Adjective,彼は足が短い。,His legs are short.,http://jisho.org/search/%E7%9F%AD%E3%81%84
178,広い,ひろい,"wide, big",Adjective,彼の家はとても広い。,His house is very big.,http://jisho.org/search/%E5%BA%83%E3%81%84
179,もらう,もらう,receive,Verb,彼女からプレゼントをもらいました。,I got a present from her.,http://jisho.org/search/%E3%82%82%E3%82%89%E3%81%86
180,全部,ぜんぶ,"all, wholly",Adverb,それ、全部ください。,"I'd like all of those, please.",http://jisho.org/search/%E5%85%A8%E9%83%A8
181,国,くに,country,Noun,私の国について少しお話しましょう。,Let me tell you a bit about my country.,http://jisho.org/search/%E5%9B%BD
182,白い,しろい,"white, blank",Adjective,彼は歯が白い。,His teeth are white.,http://jisho.org/search/%E7%99%BD%E3%81%84
183,赤い,あかい,red,Adjective,赤いバラを買いました。,I bought a red rose.,http://jisho.org/search/%E8%B5%A4%E3%81%84
184,部屋,へや,room,Noun,私の部屋は2階にあります。,My room is on the second floor.,http://jisho.org/search/%E9%83%A8%E5%B1%8B
185,米,こめ,rice (grain),Noun,日本人はお米が大好きです。,Japanese people love rice.,http://jisho.org/search/%E7%B1%B3
186,未だ,まだ,"yet, more",Adverb,宿題は未だ終わっていません。,I haven't finished my homework yet.,http://jisho.org/search/%E6%9C%AA%E3%81%A0
187,有る,ある,"exist, possess",Verb,私の机の上に書類がたくさん有ります。,There are a lot of documents on my desk.,http://jisho.org/search/%E6%9C%89%E3%82%8B
188,無い,ない,to not be,Adjective,ここには何も無い。,There's nothing here.,http://jisho.org/search/%E7%84%A1%E3%81%84
189,とても,とても,very,Adverb,この本はとてもおもしろい。,This book is very interesting.,http://jisho.org/search/%E3%81%A8%E3%81%A6%E3%82%82
190,作る,つくる,"make, create",Verb,今、朝ご飯を作っています。,I'm making breakfast now.,http://jisho.org/search/%E4%BD%9C%E3%82%8B
191,使う,つかう,use,Verb,このパソコンを使ってください。,Please use this computer.,http://jisho.org/search/%E4%BD%BF%E3%81%86
192,消す,けす,"switch off, turn off",Verb,昼間は電気を消してください。,Please turn the lights off during the day.,http://jisho.org/search/%E6%B6%88%E3%81%99
193,売る,うる,sell,Verb,彼は家を売った。,He sold the house.,http://jisho.org/search/%E5%A3%B2%E3%82%8B
194,店,みせ,"shop, store",Noun,私はこの店によく来ます。,I come to this store quite often.,http://jisho.org/search/%E5%BA%97
195,春,はる,spring,Noun,今年の春は暖かいね。,"It's warm this spring, isn't it.",http://jisho.org/search/%E6%98%A5
196,夏,なつ,summer,Noun,私は夏が大好き。,I just love summer.,http://jisho.org/search/%E5%A4%8F
197,秋,あき,"autumn, fall",Noun,彼女は秋に結婚します。,She'll get married this fall.,http://jisho.org/search/%E7%A7%8B
198,冬,ふゆ,winter,Noun,カナダの冬はとても寒いです。,Canada's winters are very cold.,http://jisho.org/search/%E5%86%AC
199,みんな,みんな,"all, everybody",Noun,みんなにお菓子をあげましょう。,Let's give everyone some sweets.,http://jisho.org/search/%E3%81%BF%E3%82%93%E3%81%AA
200,暑い,あつい,"hot, warm (temperature of the air)",Adjective,今日はとても暑い。,It's very hot today.,http://jisho.org/search/%E6%9A%91%E3%81%84
201,熱い,あつい,"hot (things, touch)",Adjective,このスープはとても熱い。,This soup is very hot.,http://jisho.org/search/%E7%86%B1%E3%81%84
202,寒い,さむい,cold (temperature of the air),Adjective,この部屋は寒いです。,It's cold in this room.,http://jisho.org/search/%E5%AF%92%E3%81%84
203,暖かい,あたたかい,warm,Adjective,このコートはとても暖かい。,This coat is really warm.,http://jisho.org/search/%E6%9A%96%E3%81%8B%E3%81%84
204,新しい,あたらしい,new,Adjective,彼の車は新しい。,His car is new.,http://jisho.org/search/%E6%96%B0%E3%81%97%E3%81%84
